Experience_Years,Python_Score,ML_Score,SQL_Score,WebDev_Score,SystemDesign_Score,Communication_Score,Certifications_Count,Expected_Salary,Role
7.7,68.0,72.4,77.9,56.5,53.2,68.2,3,29.57,Cybersecurity Analyst
4.9,39.6,72.7,41.1,24.3,45.1,62.1,4,25.3,Product Manager
2.6,63.0,39.7,71.0,61.8,35.0,80.5,1,22.96,Product Manager
0.4,48.7,55.8,68.9,57.3,69.7,70.9,1,16.85,Product Manager
2.7,51.8,68.7,57.9,60.9,65.6,72.2,2,22.62,Product Manager
2.6,87.2,50.8,65.1,47.6,41.0,60.0,0,17.81,Cybersecurity Analyst
0.8,84.6,76.5,75.4,100.0,60.4,49.4,1,14.41,UX Designer
2.3,76.0,100.0,73.1,85.2,22.8,72.8,1,18.51,UX Designer
2.0,45.3,39.3,42.9,33.1,53.3,80.9,1,20.68,Product Manager
3.8,59.3,27.4,72.3,62.7,58.1,67.3,1,24.02,Product Manager
4.0,86.8,61.1,59.0,45.8,80.7,87.2,2,26.82,Product Manager
0.2,67.6,69.4,61.1,37.7,36.1,61.6,3,18.91,Product Manager
1.9,100.0,50.4,61.1,31.2,27.0,57.3,0,13.88,Data Analyst
3.9,72.1,84.1,57.7,66.6,33.9,69.2,1,25.4,Product Manager
2.8,68.5,28.2,77.9,44.4,25.9,69.0,2,17.34,Data Analyst
7.8,59.4,68.9,58.7,77.4,74.1,79.2,1,28.39,Product Manager
4.3,67.4,42.9,43.2,77.9,77.9,60.7,2,26.59,Product Manager
0.7,62.3,89.4,54.1,85.5,55.8,86.4,1,20.69,Product Manager
0.3,77.7,94.9,62.7,41.0,72.0,93.6,3,20.83,Product Manager
4.1,82.2,39.7,78.4,67.5,52.4,69.5,3,19.48,Data Analyst
0.1,50.9,44.0,69.0,70.6,48.3,85.0,2,15.31,UX Designer
3.5,41.0,72.2,47.2,48.5,44.0,57.3,0,21.6,Product Manager
11.3,31.9,47.3,97.3,42.6,44.4,82.9,1,32.5,Product Manager
3.4,74.1,54.1,64.0,90.2,22.1,82.6,3,20.36,UX Designer
2.0,45.1,55.5,79.1,62.5,54.8,80.4,1,20.59,Product Manager
4.1,26.2,16.6,57.7,70.7,49.3,69.8,1,22.15,Product Manager
2.5,72.0,54.7,68.0,41.6,63.4,34.5,1,17.76,Cybersecurity Analyst
3.2,100.0,41.2,72.6,33.6,51.7,62.3,2,21.7,Cybersecurity Analyst
11.4,64.9,45.1,78.3,46.6,47.1,62.5,2,26.56,Data Analyst
2.0,80.1,83.9,75.9,55.5,34.3,58.3,3,16.19,Data Analyst
13.0,66.5,29.9,73.1,36.7,51.3,71.5,1,32.05,Product Manager
9.4,63.2,71.3,55.3,57.8,63.3,65.0,2,34.02,Product Manager
0.9,81.5,49.4,51.4,24.2,29.4,60.1,1,10.84,Data Analyst
0.3,59.8,49.4,65.0,35.6,51.6,57.3,2,18.15,Product Manager
0.4,69.8,70.8,74.0,71.4,54.2,61.4,2,13.68,Data Analyst
0.1,70.8,61.8,56.7,70.1,37.1,83.5,2,17.76,Product Manager
0.4,53.0,66.4,76.0,50.2,39.4,62.1,0,15.06,Cybersecurity Analyst
4.6,82.9,74.4,81.8,37.6,54.2,63.8,1,20.43,Data Analyst
0.3,61.9,48.4,46.3,37.5,29.6,64.5,0,16.59,Product Manager
1.5,51.4,42.8,47.4,50.5,56.3,74.1,1,21.21,Product Manager
7.5,74.7,33.3,57.9,70.9,33.9,75.5,3,27.32,UX Designer
0.1,48.8,38.5,64.6,76.6,69.1,33.5,2,14.13,Cybersecurity Analyst
6.7,65.5,100.0,52.1,48.1,92.1,82.3,1,30.59,Product Manager
1.3,64.8,79.9,80.3,34.9,34.5,87.2,2,16.3,Data Analyst
0.5,84.5,28.0,66.4,63.4,59.6,57.4,2,16.02,Cybersecurity Analyst
4.8,73.5,28.6,60.6,41.5,36.9,58.3,2,20.37,Data Analyst
4.0,64.5,64.6,38.5,47.6,68.7,64.6,0,24.97,Product Manager
8.4,79.7,65.9,40.3,84.5,27.2,60.9,1,25.53,UX Designer
5.3,90.0,66.0,64.2,74.5,58.7,72.7,1,27.1,Product Manager
6.5,75.0,49.9,28.0,61.2,34.3,46.6,1,22.75,Cybersecurity Analyst
1.3,65.2,52.5,75.2,32.6,46.3,56.6,1,13.82,Cybersecurity Analyst
0.8,41.4,61.6,57.6,62.2,31.4,88.5,0,14.9,UX Designer
5.6,45.8,56.7,100.0,79.3,64.8,58.9,0,20.16,Data Analyst
6.6,59.5,10.6,94.6,50.5,34.9,84.9,1,21.11,Data Analyst
15.0,54.0,50.4,57.3,85.0,59.9,74.3,1,30.21,UX Designer
2.1,61.6,38.0,58.4,83.9,43.8,48.3,0,13.65,UX Designer
1.9,66.0,58.5,74.9,91.3,47.9,77.6,3,16.82,UX Designer
6.0,74.5,100.0,85.5,64.1,52.7,68.6,2,26.15,Machine Learning Engineer
1.7,63.7,62.3,35.4,69.7,36.3,64.5,2,14.77,UX Designer
10.7,73.8,48.7,33.2,86.3,53.8,72.9,1,26.42,UX Designer
7.8,66.2,73.4,50.7,66.9,77.5,75.7,0,30.28,Product Manager
2.2,29.4,64.7,68.7,48.0,36.0,78.5,2,18.05,Product Manager
5.6,48.1,63.4,67.5,49.0,71.1,84.1,0,25.16,Product Manager
5.6,62.4,67.1,76.0,62.8,77.0,74.9,1,26.58,Product Manager
0.4,43.2,96.1,42.0,32.2,35.3,53.5,1,15.16,Machine Learning Engineer
9.3,75.8,32.4,25.3,55.1,23.8,64.3,2,22.99,UX Designer
2.8,92.6,64.5,72.9,79.9,55.4,100.0,1,22.03,Product Manager
7.0,86.9,36.5,47.6,14.2,40.1,78.7,0,27.12,Product Manager
1.5,61.2,66.1,29.7,88.7,83.6,98.4,2,23.34,Product Manager
9.0,91.8,36.6,62.2,80.4,50.6,86.7,0,25.54,UX Designer
2.0,67.7,46.7,71.9,48.8,35.6,72.9,2,21.98,Product Manager
0.0,58.9,49.1,58.2,68.9,29.4,73.6,2,12.53,UX Designer
9.4,54.0,74.5,53.1,58.1,69.6,69.6,0,29.59,Product Manager
0.4,59.6,73.4,57.6,82.6,39.7,49.1,2,12.85,UX Designer
1.5,58.0,30.1,54.4,77.7,50.8,70.2,1,20.57,Product Manager
12.0,68.1,56.1,39.8,30.0,67.2,84.5,1,32.39,Product Manager
12.0,67.9,40.8,49.3,69.7,41.3,62.8,0,29.07,Cybersecurity Analyst
3.4,65.1,29.8,67.8,53.9,49.2,74.9,4,24.5,Product Manager
4.0,72.9,50.7,64.8,59.7,49.7,80.2,2,23.42,Product Manager
2.4,86.4,48.8,62.5,43.4,62.3,59.1,3,19.7,Cybersecurity Analyst
1.4,82.1,100.0,45.1,93.0,60.6,64.6,2,21.57,Machine Learning Engineer
1.6,38.3,63.7,57.3,78.8,46.0,57.8,3,13.1,UX Designer
4.5,19.0,27.4,27.3,43.2,51.1,60.1,2,23.82,Product Manager
5.6,81.8,43.7,62.7,31.3,43.3,54.5,0,24.47,Product Manager
6.3,40.4,75.4,81.4,50.3,23.4,59.2,2,22.14,Data Analyst
6.2,61.0,96.8,37.9,66.7,54.6,87.0,1,27.9,Product Manager
0.4,43.9,23.3,51.2,62.8,84.1,59.0,1,15.6,Product Manager
2.7,32.6,17.4,64.9,83.1,34.1,71.5,3,18.77,UX Designer
0.2,74.7,92.4,78.8,73.8,36.1,64.0,0,16.93,Machine Learning Engineer
3.2,78.7,62.8,53.3,77.4,34.3,84.1,3,20.92,UX Designer
2.3,54.6,37.6,49.6,64.5,63.0,85.7,2,23.61,Product Manager
8.7,18.4,65.7,30.5,30.2,58.1,80.4,1,28.15,Product Manager
1.7,55.2,2.3,61.6,54.1,47.1,73.7,2,19.97,Product Manager
0.5,72.1,55.1,90.6,79.2,33.5,67.2,2,14.18,Data Analyst
0.6,38.4,61.6,64.2,57.0,51.7,55.7,2,17.98,Product Manager
5.7,68.3,73.5,59.7,68.1,21.8,93.3,0,26.9,Product Manager
3.9,64.7,34.7,64.8,51.6,52.6,60.9,1,22.17,Cybersecurity Analyst
0.4,75.4,56.7,59.8,37.4,65.7,78.0,0,17.31,Product Manager
0.4,67.2,36.5,47.8,55.5,27.5,82.7,1,15.09,UX Designer
4.8,47.5,60.1,72.3,64.2,22.4,63.3,3,21.36,UX Designer
0.3,86.5,37.1,63.4,44.9,78.4,82.5,1,18.77,Product Manager
6.9,62.1,46.8,60.3,53.3,39.0,79.2,3,28.78,Product Manager
4.9,64.5,35.1,45.4,39.2,70.4,90.7,0,23.4,Product Manager
0.3,48.2,68.0,79.6,80.4,47.2,64.4,1,16.05,UX Designer
0.4,57.0,72.2,70.0,52.1,47.1,54.6,1,16.18,Cybersecurity Analyst
15.0,49.1,50.3,51.7,87.1,57.9,63.9,4,31.44,UX Designer
1.9,61.9,55.8,75.0,88.6,34.1,72.5,4,19.43,UX Designer
1.9,95.8,26.0,52.5,56.4,52.4,70.7,1,21.65,Product Manager
6.7,40.3,49.0,48.3,37.8,43.1,65.3,1,25.17,Product Manager
11.8,36.0,54.0,48.6,16.3,26.2,47.1,3,30.12,Product Manager
15.0,91.5,100.0,33.4,28.6,56.1,75.6,1,30.54,Machine Learning Engineer
5.6,61.2,32.8,67.1,30.5,45.3,93.7,1,26.03,Product Manager
1.9,53.0,84.3,32.5,85.6,47.2,75.6,2,22.44,Product Manager
0.3,83.7,74.9,41.6,60.3,28.2,77.3,1,16.19,Machine Learning Engineer
6.0,54.1,60.6,28.9,65.8,78.6,76.9,2,28.53,Product Manager
3.3,97.9,90.2,58.7,13.6,65.8,74.8,0,21.28,Machine Learning Engineer
2.2,77.2,62.4,57.7,34.0,67.4,81.2,1,23.14,Product Manager
9.5,56.2,62.8,55.1,75.7,44.5,74.7,1,23.03,UX Designer
0.5,100.0,53.9,44.4,63.7,18.9,66.2,0,12.15,Data Analyst
2.7,54.1,79.5,42.4,55.1,85.2,60.4,1,21.18,Product Manager
0.0,78.4,76.9,67.0,69.3,48.9,67.0,1,15.27,Cybersecurity Analyst
2.5,70.4,42.5,51.7,90.7,36.5,73.8,0,14.16,UX Designer
0.2,88.4,28.6,64.7,53.6,57.5,66.2,3,18.21,Cybersecurity Analyst
0.5,93.1,50.9,46.7,59.4,71.0,73.8,2,18.65,Product Manager
0.5,65.6,39.0,62.7,61.9,49.6,75.3,2,18.75,Product Manager
4.2,51.4,53.7,79.5,100.0,73.0,80.0,2,20.91,UX Designer
5.5,73.3,79.7,68.8,16.0,69.5,85.4,1,26.11,Product Manager
3.5,52.8,45.9,53.8,71.7,30.6,70.9,2,19.73,UX Designer
13.1,100.0,54.1,63.9,55.7,37.9,54.3,2,28.08,Data Analyst
1.9,67.5,56.2,56.4,69.3,67.2,65.9,3,24.82,Product Manager
1.3,58.4,72.0,60.1,44.9,1.2,70.5,1,13.58,Data Analyst
8.1,68.3,10.1,55.1,57.0,47.3,48.0,3,26.22,Cybersecurity Analyst
1.0,40.8,42.9,57.5,72.2,24.2,86.7,1,15.03,UX Designer
13.2,47.5,59.2,63.2,100.0,41.4,71.7,2,27.97,UX Designer
0.0,86.6,79.0,45.1,74.2,44.6,74.6,1,16.07,Cybersecurity Analyst
14.0,53.2,45.2,44.8,41.0,43.6,86.4,0,31.57,Product Manager
0.2,46.2,17.5,39.2,49.5,40.1,62.4,2,16.6,Product Manager
8.9,74.7,67.4,36.0,48.9,30.3,76.9,2,30.11,Product Manager
3.0,86.3,42.3,41.7,22.1,91.3,68.7,0,22.51,Product Manager
15.0,77.9,31.2,62.4,51.4,83.6,67.8,3,32.16,Cybersecurity Analyst
0.3,82.9,42.5,46.6,72.7,29.1,60.7,0,12.03,UX Designer
3.2,51.4,51.3,67.7,32.5,78.5,90.0,0,22.84,Product Manager
13.9,39.4,42.9,60.5,79.0,42.8,65.5,2,27.99,UX Designer
3.0,92.0,10.9,30.5,67.8,52.3,78.4,4,24.91,Product Manager
4.0,59.2,72.9,69.8,43.3,48.9,47.5,1,21.6,Cybersecurity Analyst
4.8,60.5,80.5,72.2,55.2,38.1,84.2,3,28.74,Product Manager
2.4,88.9,68.0,45.1,90.0,67.7,82.6,3,25.19,Product Manager
4.0,75.0,32.2,66.3,72.7,52.3,71.2,2,21.74,Cybersecurity Analyst
3.5,73.2,51.0,47.2,58.2,41.4,67.3,1,21.95,Product Manager
9.3,100.0,54.9,61.5,53.2,26.5,74.8,3,23.3,Data Analyst
0.2,53.4,67.0,41.0,59.5,33.9,97.5,4,18.61,Product Manager
1.3,81.7,68.4,33.1,47.8,20.5,48.8,2,18.47,Machine Learning Engineer
12.0,66.0,40.3,54.3,15.9,50.2,79.4,2,31.73,Product Manager
8.8,69.8,56.6,58.1,98.8,28.5,59.1,3,25.3,UX Designer
2.4,92.5,64.1,54.0,61.1,45.2,69.8,0,20.12,Machine Learning Engineer
3.9,74.1,84.1,42.2,66.0,74.7,67.0,1,21.37,Product Manager
1.3,74.7,69.1,54.0,56.8,71.6,64.9,1,19.21,Product Manager
0.8,84.3,70.8,64.0,43.3,49.4,69.9,1,12.78,Data Analyst
2.5,58.4,56.7,59.3,54.3,48.4,56.4,2,22.36,Product Manager
1.7,49.9,83.2,62.7,26.0,83.8,82.4,4,22.51,Product Manager
3.5,46.2,63.2,49.9,100.0,59.4,48.5,2,20.29,UX Designer
0.3,29.6,37.8,77.6,33.3,44.1,76.5,2,18.83,Product Manager
14.7,100.0,83.1,42.4,37.4,24.3,66.1,0,30.4,Machine Learning Engineer
15.0,45.1,69.0,67.3,49.2,57.1,55.9,4,30.74,Cybersecurity Analyst
4.8,61.0,46.1,77.7,83.8,64.9,72.4,2,26.36,Product Manager
3.1,60.0,45.4,67.2,58.3,38.6,51.3,1,15.87,Data Analyst
1.5,70.5,60.9,57.0,33.3,55.2,70.5,0,18.95,Product Manager
6.7,79.7,64.3,52.1,83.1,43.5,52.9,2,24.02,UX Designer
4.6,80.5,58.9,75.5,72.6,46.7,75.5,4,27.03,Product Manager
0.7,54.5,61.2,38.7,68.8,5.2,58.9,0,13.49,UX Designer
9.7,62.0,89.0,45.4,72.3,46.0,64.6,0,28.58,Machine Learning Engineer
6.9,70.1,76.4,54.0,100.0,67.4,73.5,2,24.24,UX Designer
12.0,60.5,58.8,78.6,100.0,38.6,60.7,0,26.79,UX Designer
5.2,93.9,73.8,65.7,44.3,50.9,69.3,1,24.6,Cybersecurity Analyst
3.8,73.8,34.3,45.5,90.5,36.4,51.8,2,18.01,UX Designer
2.2,78.2,63.0,55.3,65.7,56.5,77.6,1,23.01,Product Manager
10.8,76.9,91.2,50.8,68.0,46.1,91.2,1,32.13,Product Manager
8.0,86.1,50.6,49.4,24.2,33.1,100.0,0,27.11,Product Manager
0.2,68.3,38.0,74.7,54.6,74.0,71.1,0,19.76,Product Manager
0.1,41.7,42.0,39.4,41.7,66.7,79.5,0,16.25,Product Manager
1.9,72.2,33.2,84.1,74.6,39.1,48.6,0,17.09,Data Analyst
6.7,53.3,39.3,72.4,79.4,59.0,88.0,2,28.88,Product Manager
15.0,55.5,47.6,76.4,16.5,59.7,79.3,5,36.62,Product Manager
0.7,75.6,26.9,53.1,57.6,61.6,64.2,2,18.21,Product Manager
3.6,87.3,55.3,57.8,80.4,19.5,84.8,1,17.72,UX Designer
1.9,65.4,73.0,38.5,54.3,68.1,66.9,4,23.11,Product Manager
14.0,70.6,36.8,52.1,72.6,39.7,64.5,0,26.79,UX Designer
7.4,95.6,85.4,67.4,65.0,43.6,75.7,1,28.07,Machine Learning Engineer
7.3,69.3,65.2,79.4,64.8,97.5,57.2,0,26.28,Cybersecurity Analyst
2.5,100.0,75.6,43.4,52.6,55.4,82.3,2,24.23,Product Manager
2.1,75.2,41.8,54.5,33.7,43.0,57.3,0,18.47,Product Manager
1.3,33.3,72.1,57.7,35.6,10.3,57.4,0,18.19,Product Manager
0.2,78.6,33.2,39.1,72.2,75.0,59.1,4,21.28,Product Manager
8.0,71.9,72.8,68.9,58.4,25.8,79.1,3,25.21,Data Analyst
6.7,88.2,58.4,49.1,55.2,31.9,62.6,2,25.73,Cybersecurity Analyst
15.0,77.1,66.1,57.1,49.5,44.0,53.8,3,28.92,Cybersecurity Analyst
15.0,62.5,31.5,53.2,51.9,75.5,62.7,1,32.96,Product Manager
3.2,43.0,37.1,48.2,78.9,63.9,69.6,1,22.86,Product Manager
5.9,61.2,66.9,59.9,51.3,47.2,55.8,0,26.39,Product Manager
11.6,49.7,36.0,56.8,31.2,55.5,56.2,0,28.8,Product Manager
7.6,54.6,64.3,54.4,72.9,39.2,95.3,1,29.27,Product Manager
1.1,75.6,27.7,49.1,53.9,52.5,59.7,1,18.31,Cybersecurity Analyst
2.4,95.1,72.0,64.8,58.6,51.3,66.1,0,20.91,Machine Learning Engineer
0.6,72.1,30.3,84.8,90.2,67.4,65.6,1,15.52,UX Designer
12.3,43.5,66.0,62.1,57.6,67.4,64.9,2,33.02,Product Manager
3.7,73.0,67.5,74.9,63.8,58.9,77.5,0,22.96,Product Manager
1.0,86.5,41.1,39.1,34.4,43.5,81.4,2,19.79,Product Manager
4.5,54.0,66.6,62.4,53.6,63.4,66.3,1,24.0,Product Manager
3.9,62.6,60.2,43.5,70.2,48.3,55.2,2,20.96,UX Designer
1.8,65.3,44.2,37.8,26.9,30.5,85.3,1,19.85,Product Manager
0.5,50.9,34.8,48.9,62.0,42.7,68.9,2,13.23,UX Designer
4.5,76.7,15.7,77.9,60.0,51.5,90.8,0,24.32,Product Manager
2.9,62.8,62.0,74.3,58.8,66.4,43.1,1,18.19,Cybersecurity Analyst
5.9,72.6,23.7,63.6,78.7,46.7,72.3,1,23.89,UX Designer
2.9,49.0,56.9,37.0,64.7,28.2,93.0,4,20.53,UX Designer
7.6,57.1,49.7,57.1,87.6,51.0,65.8,1,22.77,UX Designer
3.2,78.0,68.6,64.5,38.1,52.0,67.3,2,20.02,Data Analyst
3.3,58.3,49.0,62.6,60.7,53.3,73.5,1,21.8,Product Manager
8.4,96.1,48.4,32.3,59.7,66.6,63.3,1,28.48,Product Manager
2.1,57.8,69.6,46.6,36.6,68.3,66.3,1,21.71,Product Manager
0.6,69.0,61.7,59.0,77.1,39.3,65.9,3,17.39,UX Designer
0.1,81.8,61.3,68.0,100.0,38.9,62.5,1,14.08,UX Designer
5.6,39.5,64.4,27.1,57.7,31.3,84.7,1,28.25,Product Manager
3.9,33.3,24.3,57.6,68.1,62.6,75.5,0,21.93,Product Manager
4.9,37.5,70.1,62.1,59.7,76.1,73.0,1,23.11,Product Manager
1.0,87.7,67.2,72.7,43.7,44.3,79.7,1,15.33,Data Analyst
0.6,55.1,34.7,70.4,21.6,45.7,66.8,2,18.02,Product Manager
0.1,100.0,50.1,68.7,43.9,76.4,60.7,2,18.28,Cybersecurity Analyst
1.7,54.8,54.2,48.0,30.2,59.1,62.8,1,18.0,Product Manager
3.6,68.3,52.3,31.4,92.1,57.9,70.0,3,21.57,UX Designer
2.0,92.8,61.7,54.1,55.7,28.6,57.3,0,16.07,Data Analyst
2.3,100.0,83.6,75.0,51.1,62.2,64.0,0,20.85,Machine Learning Engineer
9.4,100.0,76.6,80.9,75.8,33.3,63.8,1,26.66,Data Analyst
1.7,86.8,28.8,70.7,35.6,29.6,95.5,3,22.09,Product Manager
2.9,83.4,67.4,66.4,42.7,43.8,36.7,1,20.05,Cybersecurity Analyst
6.1,75.7,81.6,65.7,59.4,39.5,67.8,4,26.24,Machine Learning Engineer
2.0,79.0,62.7,51.7,78.6,46.0,90.7,0,14.15,UX Designer
3.9,55.1,76.8,58.0,68.0,24.1,71.5,1,18.72,UX Designer
7.9,50.3,95.2,85.0,63.0,67.3,79.0,2,30.73,Product Manager
11.9,64.9,75.5,45.9,59.6,70.3,71.2,0,31.62,Product Manager
0.6,61.9,60.0,84.2,66.0,14.9,62.0,0,12.21,Data Analyst
10.4,56.8,75.9,55.2,62.0,67.6,43.1,0,30.25,Product Manager
2.7,77.5,57.9,79.9,37.4,35.4,72.5,0,16.89,Data Analyst
1.2,82.2,55.5,38.9,58.9,65.4,60.7,0,19.02,Product Manager
2.5,66.6,48.0,68.8,36.5,48.8,60.4,1,18.97,Data Analyst
15.0,91.6,86.3,48.9,59.6,50.5,64.0,2,32.66,Machine Learning Engineer
2.7,44.4,38.6,38.8,48.4,46.7,90.9,3,23.23,Product Manager
1.6,61.5,85.6,63.3,100.0,71.8,98.9,3,27.1,Product Manager
4.0,52.1,65.0,75.1,57.2,27.7,72.6,3,20.59,Data Analyst
1.1,31.4,27.0,47.3,29.9,60.9,64.4,2,16.91,Product Manager
0.3,63.5,62.4,37.5,55.3,69.8,55.9,1,15.88,Product Manager
0.6,62.8,13.0,58.6,68.4,62.9,75.6,2,20.28,Product Manager
0.5,92.2,67.5,58.7,91.5,91.8,91.4,1,18.45,Product Manager
0.7,76.4,72.7,68.2,46.2,40.5,67.0,1,13.29,Data Analyst
0.6,46.6,43.2,74.2,26.4,67.2,41.5,1,13.92,Cybersecurity Analyst
4.1,98.4,57.5,59.1,74.3,48.1,78.0,2,24.73,Product Manager
0.8,87.0,94.1,87.8,30.4,72.2,81.8,1,18.88,Machine Learning Engineer
1.7,75.5,44.9,63.4,49.3,49.9,51.0,0,17.71,Cybersecurity Analyst
9.1,60.9,33.8,54.8,52.8,43.0,72.1,0,28.85,Product Manager
2.6,47.7,84.6,35.8,56.6,73.5,75.4,2,22.16,Product Manager
4.4,58.3,94.3,56.1,71.8,41.2,69.1,0,22.8,Machine Learning Engineer
0.8,84.6,55.1,55.0,44.3,24.6,60.5,1,11.63,Data Analyst
0.9,98.9,75.2,74.4,52.5,40.7,82.2,1,14.61,Data Analyst
0.2,92.8,81.8,66.9,57.7,61.1,65.2,2,18.51,Cybersecurity Analyst
0.7,56.2,40.2,42.3,61.0,75.1,52.2,3,19.14,Product Manager
1.3,44.8,45.3,62.6,60.0,52.0,45.4,1,19.81,Product Manager
0.8,67.5,79.6,70.1,66.7,73.7,85.1,1,21.91,Product Manager
0.4,33.2,88.7,82.9,74.9,25.6,77.4,0,12.72,UX Designer
0.5,70.8,66.3,73.3,65.9,42.0,71.1,4,21.46,Product Manager
2.5,62.3,37.4,71.4,67.1,44.8,64.7,0,21.47,Product Manager
0.9,56.6,94.7,60.9,26.4,47.9,63.7,2,17.69,Machine Learning Engineer
1.8,36.3,44.4,65.8,59.0,51.5,57.1,0,19.83,Product Manager
2.8,74.2,48.3,78.7,67.6,62.4,64.8,0,23.0,Product Manager
4.7,55.4,61.8,40.0,72.6,42.0,44.6,4,21.02,UX Designer
0.2,43.9,86.1,54.8,44.2,52.5,61.2,4,17.96,Product Manager
6.4,13.3,72.1,48.4,44.8,49.2,66.3,4,27.72,Product Manager
4.0,64.5,63.3,65.7,46.5,33.3,77.3,1,19.39,Data Analyst
0.3,96.9,64.3,78.5,68.7,48.0,69.5,3,13.93,Data Analyst
8.3,94.9,55.9,51.0,78.7,47.4,79.5,3,27.15,UX Designer
10.1,56.8,66.2,24.1,49.9,47.0,86.2,0,29.23,Product Manager
0.3,54.2,4.4,53.8,76.2,50.6,82.7,0,11.21,UX Designer
1.3,73.4,49.1,73.7,60.5,51.4,75.6,3,21.39,Product Manager
6.6,47.0,59.8,68.1,55.5,42.2,70.1,1,26.2,Product Manager
5.5,70.4,32.0,66.4,53.8,72.9,58.2,4,27.47,Product Manager
0.8,78.8,62.7,55.8,72.9,28.9,78.9,2,14.84,UX Designer
0.9,87.1,50.9,40.8,64.5,37.0,90.2,0,19.0,Product Manager
1.9,63.2,90.1,67.7,100.0,100.0,74.1,0,23.04,Product Manager
2.7,61.3,86.5,47.5,41.0,31.3,93.0,1,20.0,Product Manager
3.9,49.2,45.7,92.8,68.4,25.6,51.7,1,19.24,Data Analyst
1.8,50.1,52.0,68.6,47.4,63.2,56.2,1,20.13,Product Manager
2.5,60.9,53.5,51.3,40.6,12.6,80.3,1,19.74,Product Manager
5.5,71.6,46.0,50.8,57.8,45.8,73.2,0,22.96,Product Manager
0.1,81.4,58.9,58.6,60.7,88.6,85.8,1,19.01,Product Manager
1.2,50.5,39.8,56.4,100.0,22.2,69.8,1,14.34,UX Designer
5.0,91.9,32.4,76.8,54.3,14.3,59.6,2,20.04,Data Analyst
9.0,60.1,67.5,62.8,35.4,23.0,67.4,0,23.32,Data Analyst
2.9,64.6,67.6,49.0,63.5,66.2,51.6,3,22.19,Cybersecurity Analyst
3.0,51.6,38.9,88.4,16.5,70.2,56.5,3,19.98,Cybersecurity Analyst
0.5,21.4,72.9,60.7,56.2,40.8,81.7,0,15.77,Product Manager
2.4,80.9,42.4,71.5,58.3,62.3,80.5,2,23.62,Product Manager
3.0,78.3,60.1,50.9,73.9,75.0,74.4,5,23.16,Product Manager
1.1,59.9,71.4,65.4,77.5,82.2,49.3,2,16.9,Cybersecurity Analyst
1.3,66.2,54.3,64.7,47.9,45.6,65.7,0,15.83,Data Analyst
1.9,74.3,64.1,31.7,55.0,8.6,55.3,3,20.07,Machine Learning Engineer
0.1,36.9,44.7,90.2,42.7,35.2,84.1,0,16.06,Product Manager
1.6,55.5,51.1,79.4,35.4,42.3,63.0,1,14.52,Data Analyst
1.0,79.3,50.9,54.0,64.2,45.3,57.0,2,13.25,Data Analyst
1.6,42.4,40.1,43.5,32.5,46.6,70.4,0,17.59,Product Manager
0.5,70.3,51.5,65.2,49.7,70.1,62.3,1,15.37,Cybersecurity Analyst
8.8,40.6,24.0,61.3,38.1,72.9,87.8,2,31.47,Product Manager
3.6,73.4,45.2,65.3,69.0,46.9,61.2,1,19.52,Cybersecurity Analyst
4.5,64.4,49.3,62.9,94.0,69.8,53.2,0,19.95,UX Designer
6.2,35.9,49.9,67.6,32.0,56.4,44.2,1,22.99,Cybersecurity Analyst
2.8,86.0,50.2,81.7,20.9,51.2,69.6,3,16.65,Data Analyst
0.4,51.8,53.8,68.5,55.5,66.3,63.3,3,15.48,Cybersecurity Analyst
3.1,50.4,64.6,44.3,58.3,51.3,52.9,0,19.8,Machine Learning Engineer
3.5,68.6,72.5,80.4,62.4,87.0,84.3,5,27.99,Product Manager
5.5,85.7,42.0,84.6,49.1,24.1,78.0,4,22.21,Data Analyst
2.3,46.7,30.9,100.0,54.0,40.7,69.7,2,14.56,Data Analyst
0.5,66.1,34.2,43.1,65.4,47.7,86.4,0,20.3,Product Manager
1.3,72.7,45.3,63.6,78.8,57.9,78.0,1,16.33,UX Designer
1.8,77.5,48.0,28.8,18.9,72.8,60.1,0,19.69,Product Manager
4.2,68.2,39.6,68.3,50.6,49.6,57.5,1,25.55,Product Manager
3.4,58.4,29.1,51.8,62.3,24.4,79.8,1,17.9,UX Designer
1.8,50.1,45.9,88.9,39.6,65.2,74.8,3,21.62,Product Manager
15.0,66.6,58.6,48.4,92.6,63.6,72.0,1,27.41,UX Designer
3.7,45.7,66.9,34.7,45.3,15.0,59.8,0,15.86,UX Designer
1.1,12.4,43.9,52.9,57.2,49.9,77.3,1,18.22,Product Manager
0.4,72.9,46.7,30.4,69.1,21.4,60.9,2,13.47,UX Designer
0.7,81.3,36.5,71.3,46.2,38.0,68.8,0,13.02,Data Analyst
1.1,22.5,54.4,29.0,21.1,33.7,87.4,2,18.43,Product Manager
0.7,46.8,38.0,60.4,49.4,64.6,62.1,0,18.49,Product Manager
0.8,76.1,66.5,28.8,78.6,52.1,51.1,1,15.05,UX Designer
1.3,100.0,19.3,55.2,51.3,26.9,57.4,1,12.92,Data Analyst
0.8,65.4,47.8,84.7,41.1,65.8,81.9,3,20.58,Product Manager
9.1,51.9,61.0,65.4,76.5,24.2,73.1,1,25.86,UX Designer
0.3,61.7,58.7,47.0,51.4,55.9,68.5,1,17.49,Product Manager
3.0,89.7,100.0,59.5,47.8,35.3,63.9,2,22.14,Machine Learning Engineer
